verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,chapter,Regime_ID,Is_Regime_Change
Jonah.1.1,ויהי דבר יהוה אל יונה בן אמתי לאמר,16.592545423655686,7.170198015165538,0.0,16.592545423655686,7.170198015165538,-0.4641096548562933,-0.3117901104225538,0.0,0.6787154075890667,0.6223999797969442,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.2,קום לך אל נינוה העיר הגדולה וקרא עליה כי עלתה רעתם לפני,80.09309760925187,38.87839928576328,0.0,80.09309760925187,38.87839928576328,0.1208292817671345,-0.3103950269618393,0.1208292817671345,0.4519131282618134,0.6218697122836153,0.7102416712431234,0.6224456905894782,False,0.9927267215805624,1.0,False,1,1,False
Jonah.1.3,ויקם יונה לברח תרשישה מלפני יהוה וירד יפו וימצא אניה באה תרשיש ויתן שכרה וירד בה לבוא עמהם תרשישה מלפני יהוה,25.693149588201603,290.0361516699344,0.14285714285714285,19.98356079082347,225.5836735210601,-0.432873124547904,-0.3021804506164017,0.0,0.6674465271917114,0.6187427468984026,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.4,ויהוה הטיל רוח גדולה אל הים ויהי סער גדול בים והאניה חשבה להשבר,46.14186122574494,1488.6510632524653,0.38461538461538464,26.08018243194279,841.4114705340022,-0.3767137486525773,-0.27508553069555297,0.0,0.6468068277994903,0.6083747361285747,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.5,וייראו המלחים ויזעקו איש אל אלהיו ויטלו את הכלים אשר באניה אל הים להקל מעליהם ויונה ירד אל ירכתי הספינה וישכב וירדם,27.288474502978797,1035.4158728891985,0.3181818181818182,16.6762899740426,632.7541445433991,-0.4633382371825043,-0.2842659437364002,0.0,0.6784390290470423,0.6118967085088762,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.6,ויקרב אליו רב החבל ויאמר לו מה לך נרדם קום קרא אל אלהיך אולי יתעשת האלהים לנו ולא נאבד,26.95251038445984,330.64799694673724,0.15789473684210525,20.483907892189475,251.2924776795203,-0.4282641488564764,-0.30104932598494955,0.0,0.6657705913681589,0.618311559276181,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.7,ויאמרו איש אל רעהו לכו ונפילה גורלות ונדעה בשלמי הרעה הזאת לנו ויפלו גורלות ויפל הגורל על יונה,35.18006690015569,1183.450386125621,0.1111111111111111,28.783691100127378,968.2775886482352,-0.35181022528008576,-0.26950373116060633,0.0,0.637509705226933,0.6062289643234934,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.8,ויאמרו אליו הגידה נא לנו באשר למי הרעה הזאת לנו מה מלאכתך ומאין תבוא מה ארצך ואי מזה עם אתה,28.102152805042003,693.5979373284026,0.0,28.102152805042003,693.5979373284026,-0.3580882539250998,-0.28158896536487055,0.0,0.639861365484496,0.6108706488368034,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.9,ויאמר אליהם עברי אנכי ואת יהוה אלהי השמים אני ירא אשר עשה את הים ואת היבשה,29.46192762140497,8.20622564854563,0.0,29.46192762140497,8.20622564854563,-0.3455626111116963,-0.3117445277354806,0.0,0.6351642756188361,0.6223826575779725,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.10,וייראו האנשים יראה גדולה ויאמרו אליו מה זאת עשית כי ידעו האנשים כי מלפני יהוה הוא ברח כי הגיד להם,45.30325167792789,8.780282647523658,0.0,45.30325167792789,8.780282647523658,-0.19963935644066846,-0.31171927062871674,0.0,0.5791186773269831,0.6223730593293143,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.11,ויאמרו אליו מה נעשה לך וישתק הים מעלינו כי הים הולך וסער,78.58381662884265,90.3036972741717,0.08333333333333333,67.35755711043656,77.40316909214717,0.003515128420427096,-0.3087000311238207,0.003515128420427096,0.4985976695399473,0.6212251399252932,0.7102416712431234,0.6224456905894782,False,0.9999938219551782,1.0,False,1,1,False
Jonah.1.12,ויאמר אליהם שאוני והטילני אל הים וישתק הים מעליכם כי יודע אני כי בשלי הסער הגדול הזה עליכם,55.32807094117747,524.899117091601,0.2777777777777778,35.56804560504266,337.4351467017435,-0.289315759118866,-0.2972592588099268,0.0,0.6138301231429768,0.6168657083569008,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.13,ויחתרו האנשים להשיב אל היבשה ולא יכלו כי הים הולך וסער עליהם,42.73697572058649,154.87283760190672,0.08333333333333333,36.63169347478842,132.74814651592004,-0.27951790646315344,-0.3062649872063621,0.0,0.6100763009664832,0.6202985523465967,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.14,ויקראו אל יהוה ויאמרו אנה יהוה אל נא נאבדה בנפש האיש הזה ואל תתן עלינו דם נקיא כי אתה יהוה כאשר חפצת עשית,28.742133293419432,285.7900517843726,0.08695652173913043,24.48403947217211,243.4507848533545,-0.39141671001988027,-0.30139434132884835,0.0,0.6522553785988677,0.618443095602187,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.1.15,וישאו את יונה ויטלהו אל הים ויעמד הים מזעפו,34.228018965366594,12469.650848616518,0.2222222222222222,23.696320822176872,8632.835202888358,-0.39867282502404516,0.06771809577521652,0.06771809577521652,0.6549328530825816,0.4730050220159341,0.7102416712431234,0.6224456905894782,False,0.9977097563713933,1.0,False,1,1,False
Jonah.1.16,וייראו האנשים יראה גדולה את יהוה ויזבחו זבח ליהוה וידרו נדרים,33.58965363314389,351.58708518202064,0.18181818181818182,24.632412664305516,257.8305291334818,-0.3900499619485206,-0.3007616676794253,0.0,0.6517501986715281,0.6182018797471458,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,1,1,False
Jonah.2.1,וימן יהוה דג גדול לבלע את יונה ויהי יונה במעי הדג שלשה ימים ושלשה לילות,59.70766313759804,80.15892757126629,0.26666666666666666,38.93978030712916,52.2775614595215,-0.258256833749991,-0.30980549653163564,0.0,0.6018956509336695,0.6216455642480696,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,2,1,False
Jonah.2.2,ויתפלל יונה אל יהוה אלהיו ממעי הדגה,56.29360819155703,108.09237585958016,0.14285714285714285,43.78391748232214,84.07184789078458,-0.21363478952219095,-0.3084066255339734,0.0,0.5845840662318685,0.6211135294619805,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,2,1,False
Jonah.2.3,ויאמר קראתי מצרה לי אל יהוה ויענני מבטן שאול שועתי שמעת קולי,52.33371901187802,5210.646758190893,0.0,52.33371901187802,5210.646758190893,-0.13487780800141966,-0.08284984271812006,0.0,0.5536457570758019,0.5330145317168524,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,2,1,False
Jonah.2.4,ותשליכני מצולה בלבב ימים ונהר יסבבני כל משבריך וגליך עלי עברו,103.88106621953395,164621.38958466664,0.36363636363636365,60.14166991657228,95307.12028585964,-0.06295442557080567,3.881175079871965,3.881175079871965,0.52509860229146,5.197648426579537e-05,0.7102416712431234,0.0012474356223790889,False,0.0005357944280005496,0.008572710848008794,True,2,1,False
Jonah.2.5,ואני אמרתי נגרשתי מנגד עיניך אך אוסיף להביט אל היכל קדשך,43.87030213617678,534.0303675137885,0.18181818181818182,32.17155489986297,391.62226951011155,-0.3206027258137764,-0.2948751576693882,0.0,0.625744264162251,0.6159553750472097,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,2,1,False
Jonah.2.6,אפפוני מים עד נפש תהום יסבבני סוף חבוש לראשי,238.5049416707456,15700.453740425619,0.2222222222222222,165.11880577205466,10869.544897217736,0.9040484130439977,0.1661278628367168,0.919185508990468,0.18298486537310527,0.4340281637232899,0.7102416712431234,0.6224456905894782,False,0.6554383700404277,1.0,False,2,1,False
Jonah.2.7,לקצבי הרים ירדתי הארץ ברחיה בעדי לעולם ותעל משחת חיי יהוה אלהי,310.9285018876043,32673.750022609333,0.25,207.28566792506953,21782.50001507289,1.2924708544180736,0.6462712510571212,1.4450423659751717,0.0980970664919244,0.25905185143682974,0.7102416712431234,0.6224456905894782,False,0.3520177354924583,1.0,False,2,1,False
Jonah.2.8,בהתעטף עלי נפשי את יהוה זכרתי ותבוא אליך תפלתי אל היכל קדשך,63.13182799890052,2422.718976756685,0.08333333333333333,54.112995427629016,2076.616265791444,-0.11848790242159683,-0.22073953466276044,0.0,0.5471594599796542,0.5873523767740713,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,2,1,False
Jonah.2.9,משמרים הבלי שוא חסדם יעזבו,122.7055120151809,29136.546509972457,0.6,55.77523273417313,13243.884777260208,-0.10317610923176922,0.2705930221339615,0.2705930221339615,0.5410883996133399,0.39335203160440146,0.7102416712431234,0.6224456905894782,False,0.9640517610152937,1.0,False,2,1,False
Jonah.2.10,ואני בקול תודה אזבחה לך אשר נדרתי אשלמה ישועתה ליהוה,137.81594401841522,28920.681005725866,0.4,76.56441334356401,16067.045003181036,0.0883246065948851,0.3948051811434751,0.40456441661109227,0.46480934107307464,0.34649333545648436,0.7102416712431234,0.6224456905894782,False,0.921422890519846,1.0,False,2,1,False
Jonah.2.11,ויאמר יהוה לדג ויקא את יונה אל היבשה,548.1356792757404,379.98929648855,0.25,365.4237861838269,253.32619765903334,2.7491690964042186,-0.3009598472698711,2.7491690964042186,0.0029873277470721968,0.618277443484967,0.07169586592973273,0.6224456905894782,False,0.02284631690725169,0.2741558028870203,False,2,1,False
Jonah.3.1,ויהי דבר יהוה אל יונה שנית לאמר,10.784443582726492,26.219999308672374,0.0,10.784443582726492,26.219999308672374,-0.5176113142545296,-0.31095196566348443,0.0,0.6976352569404375,0.6220814307974389,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.3.2,קום לך אל נינוה העיר הגדולה וקרא אליה את הקריאה אשר אנכי דבר אליך,54.20330168005342,5.999676074244525,0.07142857142857142,47.427888970046745,5.249716564963959,-0.18006813956793735,-0.3118746069187417,0.0,0.5714504626625152,0.6224320892933587,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.3.3,ויקם יונה וילך אל נינוה כדבר יהוה ונינוה היתה עיר גדולה לאלהים מהלך שלשת ימים,8.644048767458452,67.1451496295367,0.13333333333333333,6.824249026940883,53.0093286548974,-0.554090870928504,-0.3097733005611783,0.0,0.7102416712431234,0.62163332169261,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.3.4,ויחל יונה לבוא בעיר מהלך יום אחד ויקרא ויאמר עוד ארבעים יום ונינוה נהפכת,63.86239253218297,117.52438375258005,0.21428571428571427,44.70367477252808,82.26706862680604,-0.20516239309779033,-0.30848603141638,0.0,0.5812773748017954,0.6211437361799517,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.3.5,ויאמינו אנשי נינוה באלהים ויקראו צום וילבשו שקים מגדולם ועד קטנם,48.32540201545192,12804.111723531274,0.2727272727272727,31.269377774704186,8285.013468167295,-0.32891318155113713,0.05241478843068003,0.05241478843068003,0.6288893446364604,0.4790990954254484,0.7102416712431234,0.6224456905894782,False,0.9986272880090951,1.0,False,3,1,False
Jonah.3.6,ויגע הדבר אל מלך נינוה ויקם מכסאו ויעבר אדרתו מעליו ויכס שק וישב על האפר,44.972234750876076,6662.938572161007,0.2,32.12302482205434,4759.241837257862,-0.32104976337692487,-0.10271055742421584,0.0,0.6259136601919798,0.540903652824629,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.3.7,ויזעק ויאמר בנינוה מטעם המלך וגדליו לאמר האדם והבהמה הבקר והצאן אל יטעמו מאומה אל ירעו ומים אל ישתו,35.83903513618029,14136.217048561022,0.21052631578947367,25.220061762497245,9947.708293431831,-0.38463679896374336,0.1255693023416612,0.1255693023416612,0.6497467369219796,0.4500364318780885,0.7102416712431234,0.6224456905894782,False,0.9921471709930696,1.0,False,3,1,False
Jonah.3.8,ויתכסו שקים האדם והבהמה ויקראו אל אלהים בחזקה וישבו איש מדרכו הרעה ומן החמס אשר בכפיהם,24.144434495281523,961.0007655375877,0.1875,17.559588723841106,698.9096476637001,-0.45520168067008493,-0.28135526307524394,0.0,0.6755179242490125,0.6107810362105603,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.3.9,מי יודע ישוב ונחם האלהים ושב מחרון אפו ולא נאבד,105.117863043891,1750.8931384830403,0.1,87.59821920324251,1459.0776154025336,0.1899631348332847,-0.24790972795620297,0.1899631348332847,0.4246690093082347,0.5978978734995589,0.7102416712431234,0.6224456905894782,False,0.9821188039778609,1.0,False,3,1,False
Jonah.3.10,וירא האלהים את מעשיהם כי שבו מדרכם הרעה וינחם האלהים על הרעה אשר דבר לעשות להם ולא עשה,13.781048531146178,52.51908748302032,0.05555555555555555,12.40294367803156,47.267178734718286,-0.5027024088657129,-0.31002594114189813,0.0,0.69241324208244,0.6217293852881803,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,3,1,False
Jonah.4.1,וירע אל יונה רעה גדולה ויחר לו,642.5496486724077,566.322378647436,0.0,642.5496486724077,566.322378647436,5.301929690377293,-0.28718877928536757,5.301929690377293,5.7292487358241124e-08,0.6130161112775674,2.750039393195574e-06,0.6224456905894782,False,7.86849199811262e-07,1.8884380795470288e-05,True,4,1,False
Jonah.4.2,ויתפלל אל יהוה ויאמר אנה יהוה הלוא זה דברי עד היותי על אדמתי על כן קדמתי לברח תרשישה כי ידעתי כי אתה אל חנון ורחום ארך אפים ורב חסד ונחם על הרעה,15.907074152818991,301.9597653901323,0.09375,13.395430865531782,254.2819076969535,-0.4935600568689623,-0.3009177983609543,0.0,0.689191542090047,0.6182614110666372,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,4,1,False
Jonah.4.3,ועתה יהוה קח נא את נפשי ממני כי טוב מותי מחיי,15.540736044491751,5.2427847767402636,0.09090909090909091,13.149853576108404,4.436202503395608,-0.4958222059934979,-0.311910399551779,0.0,0.6899900718433574,0.6224456905894782,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,4,1,False
Jonah.4.4,ויאמר יהוה ההיטב חרה לך,74.831145669006,7155.845238886061,0.2,53.45081833500429,5111.318027775758,-0.12458758425246062,-0.08722006440913782,0.0,0.5495749709311814,0.5347517044802949,0.7102416712431234,0.6224456905894782,False,1.0,1.0,False,4,1,False
