verse_id,text,chapter,ppl_gpt,z_gpt,ppl_dicta,z_dicta,CFI,shared_seam,cfi_percentile
Isa.1.29,כי יבשו מאילים אשר חמדתם ותחפרו מהגנות אשר בחרתם,1,263.677325775,0.3371871183,16077.6628073866,-0.1048601965,0.23232692179999997,False,62.43
Isa.1.30,כי תהיו כאלה נבלת עלה וכגנה אשר מים אין לה,1,398.4183464278,1.4731313017,7501.9843139286,-0.6791199941,0.7940113076,False,69.56
Isa.1.31,והיה החסן לנערת ופעלו לניצוץ ובערו שניהם יחדו ואין מכבה,1,197.5069461534,0.1177971337,20135.0223314078,1.3861370044,1.5039341381,False,81.56
Isa.2.1,הדבר אשר חזה ישעיהו בן אמוץ על יהודה וירושלם,2,36.9891913343,-0.5962594342,40.7901725203,-0.7755151286,-1.3717745628000002,False,22.15
Isa.2.2,והיה באחרית הימים נכון יהיה הר בית יהוה בראש ההרים ונשא מגבעות ונהרו אליו כל הגו,2,5.1727790949,-0.5811261616,7.3243127502,-0.6333303957,-1.2144565573000001,False,29.36
Isa.2.3,והלכו עמים רבים ואמרו לכו ונעלה אל הר יהוה אל בית אלהי יעקב וירנו מדרכיו ונלכה ב,2,2.875728074,-0.704415722,2015.7243160576,1.1409084138,0.43649269180000005,False,65.07
Isa.2.4,ושפט בין הגוים והוכיח לעמים רבים וכתתו חרבותם לאתים וחניתותיהם למזמרות לא ישא גו,2,2.3818397466,-0.5703777029,2177.1772653187,-0.4488421014,-1.0192198043,False,36.95
Isa.2.5,בית יעקב לכו ונלכה באור יהוה,2,12.8133367827,-0.6939705771,146.8760239572,-0.5568042859,-1.250774863,False,27.81
Isa.2.6,כי נטשתה עמך בית יעקב כי מלאו מקדם ועננים כפלשתים ובילדי נכרים ישפיקו,2,124.6496701805,0.1184450862,54791.3698823683,0.8805311558,0.9989762419999999,False,72.73
Isa.2.7,ותמלא ארצו כסף וזהב ואין קצה לאצרתיו ותמלא ארצו סוסים ואין קצה למרכבתיו,2,200.6926236074,0.3208940148,1130.5643316793,-0.9394623504,-0.6185683356,False,49.19
Isa.2.8,ותמלא ארצו אלילים למעשה ידיו ישתחוו לאשר עשו אצבעתיו,2,227.6375973323,-0.2477401322,75148.2890605316,0.2423235902,-0.005416541999999996,False,58.56
Isa.2.9,וישח אדם וישפל איש ואל תשא להם,2,286.2382736961,0.3242417834,16339.0297144727,-0.5603867063,-0.2361449229,False,55.38
Isa.2.10,בוא בצור והטמן בעפר מפני פחד יהוה ומהדר גאנו,2,422.413925198,1.6337284073,160432.221533335,1.7878346888,3.4215630961,False,94.5
Isa.2.11,עיני גבהות אדם שפל ושח רום אנשים ונשגב יהוה לבדו ביום ההוא,2,138.082218331,-0.3880689179,459.8256332005,-0.5577308024,-0.9457997202999999,False,39.89
Isa.2.12,כי יום ליהוה צבאות על כל גאה ורם ועל כל נשא ושפל,2,96.4721531537,-0.2844667064,33.1931391937,-0.5034131834,-0.7878798897999999,False,45.16
Isa.2.13,ועל כל ארזי הלבנון הרמים והנשאים ועל כל אלוני הבשן,2,24.4362938251,-0.9753160361,130.0866760042,-0.4870402856,-1.4623563217,False,18.9
Isa.2.14,ועל כל ההרים הרמים ועל כל הגבעות הנשאות,2,13.0053837603,-0.7815065775,384.8147367621,1.9021605289,1.1206539514,False,74.28
Isa.2.15,ועל כל מגדל גבה ועל כל חומה בצורה,2,215.6146351462,1.6259223633,66.031226346,-0.6947657178,0.9311566455,False,71.57
Isa.2.16,ועל כל אניות תרשיש ועל כל שכיות החמדה,2,17.6960477192,-0.7346486784,1.8637866804,-0.5004838816,-1.23513256,False,28.51
Isa.2.17,ושח גבהות האדם ושפל רום אנשים ונשגב יהוה לבדו ביום ההוא,2,141.2149292267,-0.409497886,206.735937196,-0.5114101617,-0.9209080477,False,40.51
Isa.2.18,והאלילים כליל יחלף,2,867.0595258441,1.9837363542,842234.4557252871,1.999672695,3.9834090491999996,True,99.69
Isa.2.19,ובאו במערות צרים ובמחלות עפר מפני פחד יהוה ומהדר גאונו בקומו לערץ הארץ,2,92.902707682,-0.4480870134,15969.5964764871,-0.5446680293,-0.9927550427,False,38.19
Isa.2.20,ביום ההוא ישליך האדם את אלילי כספו ואת אלילי זהבו אשר עשו לו להשתחות לחפר פרות ו,2,59.268133342,-0.4712393947,759.8885089235,-0.5910561962,-1.0622955909,False,35.86
Isa.2.21,לבוא בנקרות הצרים ובסעפי הסלעים מפני פחד יהוה ומהדר גאונו בקומו לערץ הארץ,2,17.3224250097,-1.1857599949,110484.7453792925,1.9802811161,0.7945211212000001,False,69.64
Isa.2.22,חדלו לכם מן האדם אשר נשמה באפו כי במה נחשב הוא,2,31.9101151837,-0.5377845588,10.0672328864,-0.5110896459,-1.0488742047,False,36.41
Isa.3.1,כי הנה האדון יהוה צבאות מסיר מירושלם ומיהודה משען ומשענה כל משען לחם וכל משען מי,3,39.9768243253,-0.6337327431,658.7173655282,-0.4990165785,-1.1327493216,False,33.15
Isa.3.2,גבור ואיש מלחמה שופט ונביא וקסם וזקן,3,356.2790606688,1.8039324247,564.6979421774,-0.5004255711,1.3035068536,False,77.61
Isa.3.3,שר חמשים ונשוא פנים ויועץ וחכם חרשים ונבון לחש,3,160.6190291152,0.0791183901,1231.9226273276,-0.558636625,-0.4795182349,False,52.13
Isa.3.4,ונתתי נערים שריהם ותעלולים ימשלו בם,3,134.4846622422,-0.608273577,302221.9304928448,1.9906008632,1.3823272862000002,False,79.16
Isa.3.5,ונגש העם איש באיש ואיש ברעהו ירהבו הנער בזקן והנקלה בנכבד,3,67.7716257503,-1.4585545251,31360.8141217962,-0.313485306,-1.7720398311,False,9.14
Isa.3.6,כי יתפש איש באחיו בית אביו שמלה לכה קצין תהיה לנו והמכשלה הזאת תחת ידך,3,262.0077692512,0.2619597655,4712.0998314719,-0.5545026161,-0.29254285059999996,False,54.53
Isa.3.7,ישא ביום ההוא לאמר לא אהיה חבש ובביתי אין לחם ואין שמלה לא תשימני קצין עם,3,171.7148753114,-0.2208634219,1521.4202240761,-0.7691083173,-0.9899717391999999,False,38.57
Isa.3.8,כי כשלה ירושלם ויהודה נפל כי לשונם ומעלליהם אל יהוה למרות עני כבודו,3,484.6642682866,1.714162089,7677.0702877314,1.5187816559,3.2329437449,False,93.11
