verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,cfi_percentile,chapter,Regime_ID,Is_Regime_Change
Lev.1.1,ויקרא אל משה וידבר יהוה אליו מאהל מועד לאמר,4.179892686018038,2.028589166257774,0.0,4.179892686018038,2.028589166257774,-0.5227943307350488,-0.0995021432137702,0.0,0.6994413073755776,0.5396302068460787,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.2,דבר אל בני ישראל ואמרת אלהם אדם כי יקריב מכם קרבן ליהוה מן הבהמה מן הבקר ומן הצאן תקריבו את קרבנכם,3.411555011313835,15.194917953388348,0.047619047619047616,3.1148980538082838,13.87362074005023,-0.536558661362599,-0.099382155568419,0.0,0.7042137473592744,0.5395825747949473,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.3,אם עלה קרבנו מן הבקר זכר תמים יקריבנו אל פתח אהל מועד יקריב אתו לרצנו לפני יהוה,12.297694574321376,66.99887268161076,0.058823529411764705,11.003200408603336,59.946359767756995,-0.4346077233788123,-0.09891544854139474,0.0,0.6680764059990583,0.539397298550419,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.4,וסמך ידו על ראש העלה ונרצה לו לכפר עליו,34.997274779229926,5.463354990052759,0.1111111111111111,28.63413391027903,4.470017719134075,-0.20673991010553333,-0.09947741206286292,0.0,0.5818935065421571,0.5396203892530993,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.5,ושחט את בן הבקר לפני יהוה והקריבו בני אהרן הכהנים את הדם וזרקו את הדם על המזבח סביב אשר פתח אהל מועד,6.577554753631034,58.645437557984366,0.0,6.577554753631034,58.645437557984366,-0.4918061807165976,-0.09892862660611859,0.0,0.6885718166113323,0.5394025301776619,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.6,והפשיט את העלה ונתח אתה לנתחיה,173.76774558996576,24962.81328184267,0.5,86.88387279498288,12481.406640921336,0.5460983115425393,0.026911296763047782,0.5467609932713572,0.2924991801868986,0.4892652416337752,0.7081065677668773,0.5396339731824624,False,0.8611610071336404,1.0,False,88.01,1,1,False
Lev.1.7,ונתנו בני אהרן הכהן אש על המזבח וערכו עצים על האש,24.60127148852575,8.798532016908979,0.0,24.60127148852575,8.798532016908979,-0.2588619115406564,-0.09943356513554802,0.0,0.6021291065565975,0.5396029831584284,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.8,וערכו בני אהרן הכהנים את הנתחים את הראש ואת הפדר על העצים אשר על האש אשר על המזבח,23.789454209769232,4.710390343457009,0.1111111111111111,19.464098898902098,3.853955735555734,-0.3252563701377416,-0.09948365263945737,0.0,0.6275064756550888,0.5396228665942284,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
Lev.1.9,וקרבו וכרעיו ירחץ במים והקטיר הכהן את הכל המזבחה עלה אשה ריח ניחוח ליהוה,19.64077430506747,20723.99470357879,0.14285714285714285,15.276157792830256,16118.66254722795,-0.37938265799806214,0.06375592389793554,0.06375592389793554,0.6477981366820394,0.4745822872250896,0.7081065677668773,0.5396339731824624,False,0.9979696550284648,1.0,False,74.39,1,1,False
Lev.1.10,ואם מן הצאן קרבנו מן הכשבים או מן העזים לעלה זכר תמים יקריבנו,18.546572229299038,583.5870665894505,0.07692307692307693,16.073695932059167,505.77545771085715,-0.369075020471617,-0.09439929479727263,0.0,0.6439640963059443,0.5376040120122818,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,1,1,False
