verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,cfi_percentile,chapter,Regime_ID,Is_Regime_Change
Isa.1.1,חזון ישעיהו בן אמוץ אשר חזה על יהודה וירושלם בימי עזיהו יותם אחז יחזקיהו מלכי יה,8.2205020101,321.9581108534,0.0,8.2205020101,321.9581108534,-0.5833986175126571,-0.2529685277146235,0.0,0.7201875058593941,0.5998537332019725,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.2,שמעו שמים והאזיני ארץ כי יהוה דבר בנים גדלתי ורוממתי והם פשעו בי,54.8049938617,859.691028224,0.15384615384615385,41.909701188358824,657.4107862889412,-0.4769662841660735,-0.25032040474334233,0.0,0.6833069347888543,0.5988302110177796,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.3,ידע שור קנהו וחמור אבוס בעליו ישראל לא ידע עמי לא התבונן,107.6862202287,397.0201053774,0.16666666666666666,80.764665171525,297.76507903305003,-0.35421404963107694,-0.25315951180269264,0.0,0.6384107623895412,0.5999275237673014,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.4,הוי גוי חטא עם כבד עון זרע מרעים בנים משחיתים עזבו את יהוה נאצו את קדוש ישראל נז,50.3613263894,474.701025407,0.05555555555555555,45.325193750459995,427.2309228663,-0.46617591657707713,-0.25213748544798853,0.0,0.6794552067486914,0.5995326017377266,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.5,על מה תכו עוד תוסיפו סרה כל ראש לחלי וכל לבב דוי,101.0346226724,1815.0333010399,0.25,67.35641511493334,1210.0222006932665,-0.39657395649815574,-0.24595799213543482,0.0,0.6541591696306247,0.5971426244421396,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.6,מכף רגל ועד ראש אין בו מתם פצע וחבורה ומכה טריה לא זרו ולא חבשו ולא רככה בשמן,78.6268458981,402.8616242417,0.2222222222222222,54.433970237146156,278.9042013981,-0.43739908723540055,-0.25330840291902906,0.0,0.6690890270132192,0.5999850483869126,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.7,ארצכם שממה עריכם שרפות אש אדמתכם לנגדכם זרים אכלים אתה ושממה כמהפכת זרים,312.6174802205,35356.0644864445,0.23076923076923078,213.8961706771842,24190.99149072518,0.06638059549349679,-0.06454214085260354,0.06638059549349679,0.4735374093386286,0.5257307232541757,0.7266815425440653,0.6008320478370451,False,0.9977992335164413,1.0,False,67.85,1,1,False
Isa.1.8,ונותרה בת ציון כסכה בכרם כמלונה במקשה כעיר נצורה,231.6198491426,168448.3652418553,0.7777777777777778,90.63385401232175,65914.57770333468,-0.323034893634934,0.2648312557088886,0.2648312557088886,0.626665591896286,0.3955697288632012,0.7266815425440653,0.6008320478370451,False,0.9655399533261133,1.0,False,76.14,1,1,False
Isa.1.9,לולי יהוה צבאות הותיר לנו שריד כמעט כסדם היינו לעמרה דמינו,137.9281664922,14992.6249567248,0.09090909090909091,116.70844857032307,12686.06727107483,-0.24065893909858624,-0.15536405505957532,0.0,0.5950902672269363,0.561732840029082,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.10,שמעו דבר יהוה קציני סדם האזינו תורת אלהינו עם עמרה,52.8061466525,2642.9297535197,0.1,44.005122210416665,2202.441461266417,-0.47034634204334647,-0.23812365831277707,0.0,0.6809462032947985,0.5941074071266289,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
