verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,chapter,Regime_ID,Is_Regime_Change
Hab.1.1,המשא אשר חזה חבקוק הנביא,245.3359084526691,232.2445881764643,0.2,175.23993460904936,165.88899155461738,-0.35169819424404597,-0.6373398728011748,0.0,0.6374676925294045,0.7380482578665915,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.2,עד אנה יהוה שועתי ולא תשמע אזעק אליך חמס ולא תושיע,78.85065484227738,4737.7569658458615,0.0,78.85065484227738,4737.7569658458615,-0.6446818889061939,-0.5619051003785908,0.0,0.7404333223178616,0.7129096607601664,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.3,למה תראני און ועמל תביט ושד וחמס לנגדי ויהי ריב ומדון ישא,190.94830100948806,41135.312839650695,0.08333333333333333,163.6699722938469,35258.83957684345,-0.38686611244420244,-0.058314241281568424,0.0,0.6505723350757557,0.5232508380414912,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.4,על כן תפוג תורה ולא יצא לנצח משפט כי רשע מכתיר את הצדיק על כן יצא משפט מעקל,179.95032412602268,857.5100875396842,0.16666666666666666,134.962743094517,643.1325656547632,-0.4741242608055536,-0.6294654633464778,0.0,0.6822943504616551,0.7354778138790263,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.5,ראו בגוים והביטו והתמהו תמהו כי פעל פעל בימיכם לא תאמינו כי יספר,116.5751744093598,3862.3088520400265,0.23076923076923078,79.76196143798302,2642.632372448439,-0.6419118923461422,-0.5964741753800171,0.0,0.7395348039112277,0.7245707495639714,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.6,כי הנני מקים את הכשדים הגוי המר והנמהר ההולך למרחבי ארץ לרשת משכנות לא לו,73.23011607291518,650.1233812411203,0.2,52.30722576636799,464.3738437436574,-0.7253629764553458,-0.6324149412364221,0.0,0.765885309953002,0.7364421133745782,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.7,אים ונורא הוא ממנו משפטו ושאתו יצא,621.6527331181459,61243.52850636768,0.2857142857142857,395.5971938024565,38973.15450405216,0.31809707863613357,0.002971102655606898,0.31811095373757986,0.37520564977331866,0.49881470327512384,0.8017593830703518,0.7385325657074606,False,0.9506614348507143,1.0,False,1,1,False
Hab.1.8,וקלו מנמרים סוסיו וחדו מזאבי ערב ופשו פרשיו ופרשיו מרחוק יבאו יעפו כנשר חש לאכול,406.6563279859818,191784.07003527766,0.4666666666666667,210.3394799927492,99198.65691479879,-0.24501003854498077,0.9966780718720036,0.9966780718720036,0.5967756707074634,0.15946039838338627,0.8017593830703518,0.7385325657074606,False,0.608545503554049,1.0,False,1,1,False
Hab.1.9,כלה לחמס יבוא מגמת פניהם קדימה ויאסף כחול שבי,1535.4113024504973,96152.50591520818,0.3333333333333333,921.2467814702984,57691.503549124915,1.9158552387261454,0.3118195664086432,1.9410648463535911,0.027691762159009037,0.3775888265436851,0.3101477361809012,0.7385325657074606,False,0.15200127517302323,1.0,False,1,1,False
Hab.1.10,והוא במלכים יתקלס ורזנים משחק לו הוא לכל מבצר ישחק ויצבר עפר וילכדה,303.97839063677026,58994.16132807748,0.38461538461538464,171.81387296860927,33344.525968043796,-0.3621120099711184,-0.08989997652967432,0.0,0.6413658354192819,0.535816650097737,0.8017593830703518,0.7385325657074606,False,1.0,1.0,False,1,1,False
Hab.1.11,אז חלף רוח ויעבר ואשם זו כחו לאלהו,384.0256483581475,186789.94240222755,0.25,256.0170989054317,124526.6282681517,-0.10616889786223095,1.414583786934149,1.414583786934149,0.5422758263223177,0.07859528260565302,0.8017593830703518,0.7385325657074606,False,0.3676868533224505,1.0,False,1,1,False
